model_alias,size,length_label,l1_lines,l2_lines,rows,cells,models,lengths,base_l1_hit_pct,kw_l1_hit_pct,base_hier_miss_pct,kw_hier_miss_pct,hier_miss_reduction_pp,base_latency_cycles,kw_latency_cycles,latency_gain_pct,base_wall_cycles,kw_wall_cycles,wall_cycle_gain_pct,base_hbm_reads,kw_hbm_reads,hbm_read_saving_pct,negative_hier_miss_rows,negative_latency_rows,negative_hbm_rows
qwen2p5_7b_instruct,16/32,16k,16,32,27,1,qwen2p5_7b_instruct,16k,6.362111,15.170519,41.068667,35.083926,5.984741,4.047745,4.025038,0.560466,229620.592593,228810.962963,0.352389,34064,29100,14.572569,0,1,0
qwen2p5_7b_instruct,16/32,32k,16,32,27,1,qwen2p5_7b_instruct,32k,10.684333,20.046,34.782519,31.036519,3.746,4.010811,4.00295,0.195928,440014.0,439478.074074,0.121768,28850,25743,10.769497,1,1,1
qwen2p5_7b_instruct,16/32,4k,16,32,27,1,qwen2p5_7b_instruct,4k,12.004519,21.281815,33.493593,29.433037,4.060556,4.047593,3.994776,1.301784,70362.148148,69763.555556,0.849347,27781,24413,12.123394,0,0,0
qwen2p5_7b_instruct,16/32,8k,16,32,27,1,qwen2p5_7b_instruct,8k,7.23863,14.939,41.61963,35.374519,6.245111,4.092005,4.046261,1.115843,124287.074074,123397.962963,0.714529,34521,29341,15.005359,0,0,0
qwen2p5_7b_instruct,16/64,16k,16,64,27,1,qwen2p5_7b_instruct,16k,6.362111,15.282519,14.729185,12.257667,2.471519,3.934292,3.92478,0.241382,225575.37037,225236.222222,0.150199,12217,10167,16.779897,4,6,4
qwen2p5_7b_instruct,16/64,32k,16,64,27,1,qwen2p5_7b_instruct,32k,10.684333,18.741593,9.969296,9.16763,0.801667,3.954889,3.953422,0.037062,436201.703704,436101.703704,0.022913,8269,7604,8.042085,5,9,5
qwen2p5_7b_instruct,16/64,4k,16,64,27,1,qwen2p5_7b_instruct,4k,12.004519,20.048407,9.104889,7.998185,1.106704,3.716904,3.703255,0.365794,66614.518519,66459.814815,0.23163,7552,6634,12.15572,6,6,6
qwen2p5_7b_instruct,16/64,8k,16,64,27,1,qwen2p5_7b_instruct,8k,7.23863,13.949185,14.570111,12.10937,2.460741,3.878196,3.860593,0.453246,120131.333333,119789.185185,0.284551,12085,10044,16.888705,2,3,2
qwen2p5_7b_instruct,32/32,16k,32,32,27,1,qwen2p5_7b_instruct,16k,17.913333,55.743778,36.554704,20.181111,16.373593,4.028314,3.95973,1.701965,228927.740741,226482.37037,1.067953,30320,16739,44.792216,0,0,0
qwen2p5_7b_instruct,32/32,32k,32,32,27,1,qwen2p5_7b_instruct,32k,26.607074,61.475148,31.704481,17.409296,14.295185,4.003869,3.972051,0.794429,439540.703704,437371.666667,0.493388,26297,14440,45.088793,0,0,0
qwen2p5_7b_instruct,32/32,4k,32,32,27,1,qwen2p5_7b_instruct,4k,30.778593,63.251148,29.132852,16.28563,12.847222,3.988407,3.815862,4.322524,69691.296296,67736.0,2.80424,24164,13508,44.098659,0,0,0
qwen2p5_7b_instruct,32/32,8k,32,32,27,1,qwen2p5_7b_instruct,8k,19.6,57.362815,36.302704,20.164259,16.138444,4.049917,3.925019,3.082346,123469.0,121041.407407,1.965503,30111,16725,44.455515,0,0,0
qwen2p5_7b_instruct,32/64,16k,32,64,27,1,qwen2p5_7b_instruct,16k,17.913333,56.571889,13.392222,9.135074,4.257148,3.928521,3.911151,0.441955,225369.62963,224750.296296,0.274731,11108,7577,31.787901,0,0,0
qwen2p5_7b_instruct,32/64,32k,32,64,27,1,qwen2p5_7b_instruct,32k,26.607074,62.064778,9.491963,7.004778,2.487185,3.953807,3.948475,0.134839,436127.962963,435764.481481,0.083338,7873,5810,26.20348,0,0,0
qwen2p5_7b_instruct,32/64,4k,32,64,27,1,qwen2p5_7b_instruct,4k,30.778593,63.651296,8.397296,6.743074,1.654222,3.707283,3.686157,0.568545,66505.518519,66266.074074,0.359468,6965,5593,19.698492,1,1,1
