model_alias,length_label,l1_lines,l2_lines,size,replay_status,phase,error_class,key_log_path,short_reason,replay_run_dir
qwen2p5_7b_instruct,4k,16,128,16/128,FAIL_EXIT_1,replay,FAIL_EXIT_1,delivery/paper/repro_audit/longctx_l1_l2_size_sweep_ext_20260605/runner_logs/l1_16_l2_128/4k/qwen2p5_7b_instruct/replay_stderr.log,Time: 554255 ns  Iteration: 0  Process: /tb_kcmu_system_eval/do_descriptor  Scope: tb_kcmu_system_eval.do_descriptor  File: D:/Kiloware/kiloware_paper/kiloware_paper.srcs/sources_1/new/tb_kcmu_system_eval.sv Line: 9679,
qwen2p5_7b_instruct,8k,16,128,16/128,FAIL_EXIT_1,replay,FAIL_EXIT_1,delivery/paper/repro_audit/longctx_l1_l2_size_sweep_ext_20260605/runner_logs/l1_16_l2_128/8k/qwen2p5_7b_instruct/replay_stderr.log,Time: 1130405 ns  Iteration: 0  Process: /tb_kcmu_system_eval/do_descriptor  Scope: tb_kcmu_system_eval.do_descriptor  File: D:/Kiloware/kiloware_paper/kiloware_paper.srcs/sources_1/new/tb_kcmu_system_eval.sv Line: 9679,
qwen2p5_7b_instruct,16k,16,128,16/128,FAIL_EXIT_1,replay,FAIL_EXIT_1,delivery/paper/repro_audit/longctx_l1_l2_size_sweep_ext_20260605/runner_logs/l1_16_l2_128/16k/qwen2p5_7b_instruct/replay_stderr.log,Time: 2227315 ns  Iteration: 0  Process: /tb_kcmu_system_eval/do_descriptor  Scope: tb_kcmu_system_eval.do_descriptor  File: D:/Kiloware/kiloware_paper/kiloware_paper.srcs/sources_1/new/tb_kcmu_system_eval.sv Line: 9679,
qwen2p5_7b_instruct,32k,16,128,16/128,FAIL_EXIT_1,replay,FAIL_EXIT_1,delivery/paper/repro_audit/longctx_l1_l2_size_sweep_ext_20260605/runner_logs/l1_16_l2_128/32k/qwen2p5_7b_instruct/replay_stderr.log,Time: 4252555 ns  Iteration: 0  Process: /tb_kcmu_system_eval/do_descriptor  Scope: tb_kcmu_system_eval.do_descriptor  File: D:/Kiloware/kiloware_paper/kiloware_paper.srcs/sources_1/new/tb_kcmu_system_eval.sv Line: 9679,
qwen2p5_7b_instruct,4k,32,128,32/128,FAIL_EXIT_1,replay,FAIL_EXIT_1,delivery/paper/repro_audit/longctx_l1_l2_size_sweep_ext_20260605/runner_logs/l1_32_l2_128/4k/qwen2p5_7b_instruct/replay_stderr.log,Time: 554255 ns  Iteration: 0  Process: /tb_kcmu_system_eval/do_descriptor  Scope: tb_kcmu_system_eval.do_descriptor  File: D:/Kiloware/kiloware_paper/kiloware_paper.srcs/sources_1/new/tb_kcmu_system_eval.sv Line: 9679,
qwen2p5_7b_instruct,8k,32,128,32/128,FAIL_EXIT_1,replay,FAIL_EXIT_1,delivery/paper/repro_audit/longctx_l1_l2_size_sweep_ext_20260605/runner_logs/l1_32_l2_128/8k/qwen2p5_7b_instruct/replay_stderr.log,Time: 1130405 ns  Iteration: 0  Process: /tb_kcmu_system_eval/do_descriptor  Scope: tb_kcmu_system_eval.do_descriptor  File: D:/Kiloware/kiloware_paper/kiloware_paper.srcs/sources_1/new/tb_kcmu_system_eval.sv Line: 9679,
qwen2p5_7b_instruct,16k,32,128,32/128,FAIL_EXIT_1,replay,FAIL_EXIT_1,delivery/paper/repro_audit/longctx_l1_l2_size_sweep_ext_20260605/runner_logs/l1_32_l2_128/16k/qwen2p5_7b_instruct/replay_stderr.log,Time: 2226455 ns  Iteration: 0  Process: /tb_kcmu_system_eval/do_descriptor  Scope: tb_kcmu_system_eval.do_descriptor  File: D:/Kiloware/kiloware_paper/kiloware_paper.srcs/sources_1/new/tb_kcmu_system_eval.sv Line: 9679,
qwen2p5_7b_instruct,32k,32,128,32/128,FAIL_EXIT_1,replay,FAIL_EXIT_1,delivery/paper/repro_audit/longctx_l1_l2_size_sweep_ext_20260605/runner_logs/l1_32_l2_128/32k/qwen2p5_7b_instruct/replay_stderr.log,Time: 4252555 ns  Iteration: 0  Process: /tb_kcmu_system_eval/do_descriptor  Scope: tb_kcmu_system_eval.do_descriptor  File: D:/Kiloware/kiloware_paper/kiloware_paper.srcs/sources_1/new/tb_kcmu_system_eval.sv Line: 9679,
qwen2p5_7b_instruct,4k,64,128,64/128,FAIL_EXIT_1,replay,FAIL_EXIT_1,delivery/paper/repro_audit/longctx_l1_l2_size_sweep_ext_20260605/runner_logs/l1_64_l2_128/4k/qwen2p5_7b_instruct/replay_stderr.log,Time: 554205 ns  Iteration: 0  Process: /tb_kcmu_system_eval/do_descriptor  Scope: tb_kcmu_system_eval.do_descriptor  File: D:/Kiloware/kiloware_paper/kiloware_paper.srcs/sources_1/new/tb_kcmu_system_eval.sv Line: 9679,
qwen2p5_7b_instruct,8k,64,128,64/128,FAIL_EXIT_1,replay,FAIL_EXIT_1,delivery/paper/repro_audit/longctx_l1_l2_size_sweep_ext_20260605/runner_logs/l1_64_l2_128/8k/qwen2p5_7b_instruct/replay_stderr.log,Time: 1131055 ns  Iteration: 0  Process: /tb_kcmu_system_eval/do_descriptor  Scope: tb_kcmu_system_eval.do_descriptor  File: D:/Kiloware/kiloware_paper/kiloware_paper.srcs/sources_1/new/tb_kcmu_system_eval.sv Line: 9679,
qwen2p5_7b_instruct,16k,64,128,64/128,FAIL_EXIT_1,replay,FAIL_EXIT_1,delivery/paper/repro_audit/longctx_l1_l2_size_sweep_ext_20260605/runner_logs/l1_64_l2_128/16k/qwen2p5_7b_instruct/replay_stderr.log,Time: 2224005 ns  Iteration: 0  Process: /tb_kcmu_system_eval/do_descriptor  Scope: tb_kcmu_system_eval.do_descriptor  File: D:/Kiloware/kiloware_paper/kiloware_paper.srcs/sources_1/new/tb_kcmu_system_eval.sv Line: 9679,
