model_alias,length_label,workload,config,table_label,l1_hit_pct,hier_miss_pct,latency_cycles,wall_cycles,hbm_reads,hit_miss_csv
llama3p1_8b_instruct,4k,4k_llama3p1_8b_instruct_mdqa_cross_doc_role,baseline,Traditional cache,28.581,46.452,4.31422,73406.0,1480,delivery/paper/repro_audit/longctx_table1_32_32_perf_20260605/replay_reports/table1_controls_32_32/run_20260605_144758_llama3p1_e7c55e_llama3p1_5673df/hit_miss_amat_summary.csv
llama3p1_8b_instruct,4k,4k_llama3p1_8b_instruct_mdqa_component_match,baseline,Traditional cache,29.264,47.493,4.328191,73619.0,1513,delivery/paper/repro_audit/longctx_table1_32_32_perf_20260605/replay_reports/table1_controls_32_32/run_20260605_144758_llama3p1_e7c55e_llama3p1_5673df/hit_miss_amat_summary.csv
llama3p1_8b_instruct,4k,4k_llama3p1_8b_instruct_mdqa_two_hop_summary,baseline,Traditional cache,31.836,42.22,4.251059,72636.0,1337,delivery/paper/repro_audit/longctx_table1_32_32_perf_20260605/replay_reports/table1_controls_32_32/run_20260605_144758_llama3p1_e7c55e_llama3p1_5673df/hit_miss_amat_summary.csv
llama3p1_8b_instruct,4k,4k_llama3p1_8b_instruct_mdqa_cross_doc_priority,baseline,Traditional cache,24.935,49.544,4.358769,73911.0,1582,delivery/paper/repro_audit/longctx_table1_32_32_perf_20260605/replay_reports/table1_controls_32_32/run_20260605_144758_llama3p1_e7c55e_llama3p1_5673df/hit_miss_amat_summary.csv
llama3p1_8b_instruct,4k,4k_llama3p1_8b_instruct_mdqa_chain_descriptor_fields,baseline,Traditional cache,29.655,45.996,4.300406,73195.0,1448,delivery/paper/repro_audit/longctx_table1_32_32_perf_20260605/replay_reports/table1_controls_32_32/run_20260605_144758_llama3p1_e7c55e_llama3p1_5673df/hit_miss_amat_summary.csv
llama3p1_8b_instruct,4k,4k_llama3p1_8b_instruct_mdqa_three_stage_lookup,baseline,Traditional cache,30.371,44.531,4.282509,72938.0,1408,delivery/paper/repro_audit/longctx_table1_32_32_perf_20260605/replay_reports/table1_controls_32_32/run_20260605_144758_llama3p1_e7c55e_llama3p1_5673df/hit_miss_amat_summary.csv
llama3p1_8b_instruct,4k,4k_llama3p1_8b_instruct_mdqa_compression_guard,baseline,Traditional cache,33.398,38.639,4.204208,71998.0,1229,delivery/paper/repro_audit/longctx_table1_32_32_perf_20260605/replay_reports/table1_controls_32_32/run_20260605_144758_llama3p1_e7c55e_llama3p1_5673df/hit_miss_amat_summary.csv
llama3p1_8b_instruct,4k,4k_llama3p1_8b_instruct_mdqa_query_cost_chain,baseline,Traditional cache,35.352,37.337,4.18238,71858.0,1181,delivery/paper/repro_audit/longctx_table1_32_32_perf_20260605/replay_reports/table1_controls_32_32/run_20260605_144758_llama3p1_e7c55e_llama3p1_5673df/hit_miss_amat_summary.csv
llama3p1_8b_instruct,4k,4k_llama3p1_8b_instruct_mdqa_head_budget_allocation,baseline,Traditional cache,25.553,48.665,4.340194,73591.0,1538,delivery/paper/repro_audit/longctx_table1_32_32_perf_20260605/replay_reports/table1_controls_32_32/run_20260605_144758_llama3p1_e7c55e_llama3p1_5673df/hit_miss_amat_summary.csv
llama3p1_8b_instruct,4k,4k_llama3p1_8b_instruct_mdqa_backend_admission_reason,baseline,Traditional cache,23.698,46.191,4.310601,73256.0,1472,delivery/paper/repro_audit/longctx_table1_32_32_perf_20260605/replay_reports/table1_controls_32_32/run_20260605_144758_llama3p1_e7c55e_llama3p1_5673df/hit_miss_amat_summary.csv
llama3p1_8b_instruct,4k,4k_llama3p1_8b_instruct_lcqa_anchor_timeline,baseline,Traditional cache,34.473,33.431,4.130738,71273.0,1063,delivery/paper/repro_audit/longctx_table1_32_32_perf_20260605/replay_reports/table1_controls_32_32/run_20260605_144758_llama3p1_e7c55e_llama3p1_5673df/hit_miss_amat_summary.csv
llama3p1_8b_instruct,4k,4k_llama3p1_8b_instruct_lcqa_revision_policy,baseline,Traditional cache,27.962,44.303,4.27909,73062.0,1400,delivery/paper/repro_audit/longctx_table1_32_32_perf_20260605/replay_reports/table1_controls_32_32/run_20260605_144758_llama3p1_e7c55e_llama3p1_5673df/hit_miss_amat_summary.csv
llama3p1_8b_instruct,4k,4k_llama3p1_8b_instruct_lcqa_sparse_fact,baseline,Traditional cache,33.984,41.178,4.234905,72453.0,1299,delivery/paper/repro_audit/longctx_table1_32_32_perf_20260605/replay_reports/table1_controls_32_32/run_20260605_144758_llama3p1_e7c55e_llama3p1_5673df/hit_miss_amat_summary.csv
llama3p1_8b_instruct,4k,4k_llama3p1_8b_instruct_lcqa_dual_anchor_incident,baseline,Traditional cache,29.134,39.746,4.214954,72227.0,1254,delivery/paper/repro_audit/longctx_table1_32_32_perf_20260605/replay_reports/table1_controls_32_32/run_20260605_144758_llama3p1_e7c55e_llama3p1_5673df/hit_miss_amat_summary.csv
llama3p1_8b_instruct,4k,4k_llama3p1_8b_instruct_lcqa_backend_priority_rule,baseline,Traditional cache,40.918,29.883,4.078335,70732.0,945,delivery/paper/repro_audit/longctx_table1_32_32_perf_20260605/replay_reports/table1_controls_32_32/run_20260605_144758_llama3p1_e7c55e_llama3p1_5673df/hit_miss_amat_summary.csv
