"model","config","context_tokens","kv_footprint_gib","vs_vu37p_bram_uram_x","layers","kv_heads","head_dim","dtype_bytes","bytes_per_token","kib_per_token"
"Qwen2.5-7B","model_config:Qwen2_5_7B","4096","0.218750","5.257","28","4","128","2","57344","56.0"
"Qwen2.5-7B","model_config:Qwen2_5_7B","8192","0.437500","10.513","28","4","128","2","57344","56.0"
"Qwen2.5-7B","model_config:Qwen2_5_7B","16384","0.875000","21.027","28","4","128","2","57344","56.0"
"Qwen2.5-7B","model_config:Qwen2_5_7B","32768","1.750000","42.053","28","4","128","2","57344","56.0"
"Mistral-7B","model_config:Mistral_7B","4096","0.500000","12.015","32","8","128","2","131072","128.0"
"Mistral-7B","model_config:Mistral_7B","8192","1.000000","24.031","32","8","128","2","131072","128.0"
"Mistral-7B","model_config:Mistral_7B","16384","2.000000","48.061","32","8","128","2","131072","128.0"
"Mistral-7B","model_config:Mistral_7B","32768","4.000000","96.122","32","8","128","2","131072","128.0"
"Llama-3.1-8B","model_config:Llama_3_1_8B","4096","0.500000","12.015","32","8","128","2","131072","128.0"
"Llama-3.1-8B","model_config:Llama_3_1_8B","8192","1.000000","24.031","32","8","128","2","131072","128.0"
"Llama-3.1-8B","model_config:Llama_3_1_8B","16384","2.000000","48.061","32","8","128","2","131072","128.0"
"Llama-3.1-8B","model_config:Llama_3_1_8B","32768","4.000000","96.122","32","8","128","2","131072","128.0"
"Qwen2.5-14B","model_config:Qwen2_5_14B","4096","0.750000","18.023","48","8","128","2","196608","192.0"
"Qwen2.5-14B","model_config:Qwen2_5_14B","8192","1.500000","36.046","48","8","128","2","196608","192.0"
"Qwen2.5-14B","model_config:Qwen2_5_14B","16384","3.000000","72.092","48","8","128","2","196608","192.0"
"Qwen2.5-14B","model_config:Qwen2_5_14B","32768","6.000000","144.183","48","8","128","2","196608","192.0"
